id,sentence
133,"
    Dear Customer,

    Invoice Number: INV-2023-464
    Invoice Date: 2023-4-11
    Due Date: 2023-5-10

    Billing Information:
    Recipient Name: Samuel Young
    Recipient Address: 6409 Kyle Dale, East Jacobside, Minnesota 69188

    Product Details:
    - Description: condition Monitor S3
      Quantity: 2
      Unit Price: $798.64
    - Description: floor Scanner M3
      Quantity: 2
      Unit Price: $34.11

    Balance Due: $433353960.80450803

    Thank you for your business!
    "
134,"
    Dear Customer,

    Invoice Number: INV-2023-840
    Invoice Date: 2023-8-4
    Due Date: 2023-12-21

    Billing Information:
    Recipient Name: Phyllis Petty
    Recipient Address: 78232 David Rapid Suite 452, Youngport, Wisconsin 49746

    Product Details:
    - Description: teach Laptop S3
      Quantity: 1
      Unit Price: $953.30
    - Description: seat Webcam M3
      Quantity: 4
      Unit Price: $129.40

    Balance Due: $636197470.7123533

    Thank you for your business!
    "
135,"
    Dear Customer,

    Invoice Number: INV-2023-409
    Invoice Date: 2023-3-25
    Due Date: 2023-8-18

    Billing Information:
    Recipient Name: Anita Fitzpatrick
    Recipient Address: 806 Sherry Causeway Suite 813, Bairdborough, Hawaii 48552

    Product Details:
    - Description: fly Smartphone K4
      Quantity: 3
      Unit Price: $477.39
    - Description: smile Headphones S4
      Quantity: 4
      Unit Price: $78.28

    Balance Due: $679055865.5393503

    Thank you for your business!
    "
136,"
    Dear Customer,

    Invoice Number: INV-2023-471
    Invoice Date: 2023-7-20
    Due Date: 2023-1-16

    Billing Information:
    Recipient Name: Carolyn Little
    Recipient Address: 912 Paul Curve Suite 912, Madisonport, Missouri 33764

    Product Details:
    - Description: never Smartphone X1
      Quantity: 5
      Unit Price: $581.04
    - Description: form Headphones W1
      Quantity: 3
      Unit Price: $21.37

    Balance Due: $921438681.5670242

    Thank you for your business!
    "
137,"
    Dear Customer,

    Invoice Number: INV-2023-994
    Invoice Date: 2023-4-27
    Due Date: 2023-4-5

    Billing Information:
    Recipient Name: Dr. Marissa Andrews MD
    Recipient Address: 618 Chang Parks Apt. 943, Port James, West Virginia 16209

    Product Details:
    - Description: work Keyboard T5
      Quantity: 4
      Unit Price: $750.35
    - Description: however Webcam W1
      Quantity: 2
      Unit Price: $106.93

    Balance Due: $554578285.5313404

    Thank you for your business!
    "
138,"
    Dear Customer,

    Invoice Number: INV-2023-393
    Invoice Date: 2023-9-2
    Due Date: 2023-9-9

    Billing Information:
    Recipient Name: Joseph Short
    Recipient Address: 1239 Jennifer Estates, Millerbury, Indiana 68722

    Product Details:
    - Description: rather Tablet T5
      Quantity: 1
      Unit Price: $151.92
    - Description: watch Headphones P2
      Quantity: 3
      Unit Price: $34.27

    Balance Due: $348015126.33298707

    Thank you for your business!
    "
139,"
    Dear Customer,

    Invoice Number: INV-2023-627
    Invoice Date: 2023-1-19
    Due Date: 2023-3-28

    Billing Information:
    Recipient Name: Aaron Morris
    Recipient Address: 220 Cunningham Ramp Suite 246, South Alexandra, South Carolina 16818

    Product Details:
    - Description: hour Keyboard M2
      Quantity: 4
      Unit Price: $996.56
    - Description: believe Mouse S4
      Quantity: 3
      Unit Price: $197.24

    Balance Due: $286182084.49840724

    Thank you for your business!
    "
140,"
    Dear Customer,

    Invoice Number: INV-2023-129
    Invoice Date: 2023-4-2
    Due Date: 2023-3-18

    Billing Information:
    Recipient Name: Lynn Smith
    Recipient Address: 6291 Davis Well, Lake Jeremybury, Ohio 03818

    Product Details:
    - Description: so Monitor T5
      Quantity: 5
      Unit Price: $867.92
    - Description: lose Scanner M3
      Quantity: 3
      Unit Price: $177.63

    Balance Due: $516068503.1313354

    Thank you for your business!
    "
141,"
    Dear Customer,

    Invoice Number: INV-2023-477
    Invoice Date: 2023-2-16
    Due Date: 2023-6-11

    Billing Information:
    Recipient Name: James Newman
    Recipient Address: 8664 Harold Station, Tamaraburgh, Rhode Island 37837

    Product Details:
    - Description: whom Keyboard K4
      Quantity: 1
      Unit Price: $423.88
    - Description: organization Webcam W1
      Quantity: 1
      Unit Price: $94.35

    Balance Due: $444754050.96585846

    Thank you for your business!
    "
142,"
    Dear Customer,

    Invoice Number: INV-2023-799
    Invoice Date: 2023-3-22
    Due Date: 2023-8-7

    Billing Information:
    Recipient Name: Christine Hammond
    Recipient Address: 073 Bethany Park Suite 792, West Meganbury, Hawaii 81474

    Product Details:
    - Description: subject Tablet M2
      Quantity: 4
      Unit Price: $271.17
    - Description: will Headphones M3
      Quantity: 1
      Unit Price: $44.40

    Balance Due: $776135237.1236618

    Thank you for your business!
    "
143,"
    Dear Customer,

    Invoice Number: INV-2023-242
    Invoice Date: 2023-11-23
    Due Date: 2023-4-21

    Billing Information:
    Recipient Name: Sharon Salas
    Recipient Address: 0032 Jeffrey Centers Apt. 454, Port Jared, Louisiana 96061

    Product Details:
    - Description: might Keyboard M2
      Quantity: 5
      Unit Price: $573.26
    - Description: whose Webcam S4
      Quantity: 1
      Unit Price: $20.28

    Balance Due: $319696325.2828228

    Thank you for your business!
    "
144,"
    Dear Customer,

    Invoice Number: INV-2023-446
    Invoice Date: 2023-2-19
    Due Date: 2023-12-13

    Billing Information:
    Recipient Name: James Collins
    Recipient Address: 598 Michael Valleys, West Marie, Mississippi 25772

    Product Details:
    - Description: modern Keyboard S3
      Quantity: 4
      Unit Price: $77.26
    - Description: dream Scanner H6
      Quantity: 2
      Unit Price: $69.32

    Balance Due: $178554332.62307468

    Thank you for your business!
    "
145,"
    Dear Customer,

    Invoice Number: INV-2023-687
    Invoice Date: 2023-10-21
    Due Date: 2023-3-12

    Billing Information:
    Recipient Name: David Perkins
    Recipient Address: 7741 Jacqueline Junctions Suite 703, Lake Brian, Tennessee 85888

    Product Details:
    - Description: entire Tablet T5
      Quantity: 3
      Unit Price: $327.73
    - Description: stuff Scanner H6
      Quantity: 2
      Unit Price: $56.90

    Balance Due: $399436543.54443973

    Thank you for your business!
    "
146,"
    Dear Customer,

    Invoice Number: INV-2023-914
    Invoice Date: 2023-10-4
    Due Date: 2023-11-20

    Billing Information:
    Recipient Name: Susan Wagner
    Recipient Address: 273 Ross Mountain, Lake Scott, Delaware 58949

    Product Details:
    - Description: group Keyboard T5
      Quantity: 3
      Unit Price: $605.22
    - Description: true Scanner W1
      Quantity: 2
      Unit Price: $74.21

    Balance Due: $626982284.1616513

    Thank you for your business!
    "
147,"
    Dear Customer,

    Invoice Number: INV-2023-696
    Invoice Date: 2023-9-17
    Due Date: 2023-11-6

    Billing Information:
    Recipient Name: Shelby Avery
    Recipient Address: 1871 Stephanie Underpass Apt. 158, South Maureen, Oregon 79955

    Product Details:
    - Description: machine Laptop K4
      Quantity: 4
      Unit Price: $769.77
    - Description: sing Headphones H6
      Quantity: 2
      Unit Price: $153.48

    Balance Due: $622857385.8606255

    Thank you for your business!
    "
148,"
    Dear Customer,

    Invoice Number: INV-2023-982
    Invoice Date: 2023-3-9
    Due Date: 2023-6-14

    Billing Information:
    Recipient Name: Terri Nash
    Recipient Address: 9980 Claire Trafficway Suite 563, Lake Caitlin, Kansas 68839

    Product Details:
    - Description: chance Monitor M2
      Quantity: 5
      Unit Price: $651.80
    - Description: keep Printer W1
      Quantity: 3
      Unit Price: $97.19

    Balance Due: $295381656.2359371

    Thank you for your business!
    "
149,"
    Dear Customer,

    Invoice Number: INV-2023-865
    Invoice Date: 2023-8-19
    Due Date: 2023-7-17

    Billing Information:
    Recipient Name: Christina Green
    Recipient Address: 54171 Alyssa Port, Harrisonport, West Virginia 73202

    Product Details:
    - Description: put Laptop S3
      Quantity: 3
      Unit Price: $175.26
    - Description: sign Scanner W1
      Quantity: 1
      Unit Price: $113.92

    Balance Due: $616732282.0870905

    Thank you for your business!
    "
150,"
    Dear Customer,

    Invoice Number: INV-2023-330
    Invoice Date: 2023-4-16
    Due Date: 2023-5-22

    Billing Information:
    Recipient Name: Frank Brown
    Recipient Address: 668 Douglas Points, South Williammouth, South Carolina 88735

    Product Details:
    - Description: different Smartphone T5
      Quantity: 5
      Unit Price: $450.71
    - Description: few Webcam W1
      Quantity: 4
      Unit Price: $174.17

    Balance Due: $806844555.8195782

    Thank you for your business!
    "
151,"
    Dear Customer,

    Invoice Number: INV-2023-632
    Invoice Date: 2023-3-2
    Due Date: 2023-5-11

    Billing Information:
    Recipient Name: Kayla Warren
    Recipient Address: 347 Long Manor Apt. 727, Port Shannon, Hawaii 97915

    Product Details:
    - Description: less Tablet S3
      Quantity: 3
      Unit Price: $624.95
    - Description: color Scanner H6
      Quantity: 5
      Unit Price: $106.16

    Balance Due: $984009699.7981254

    Thank you for your business!
    "
152,"
    Dear Customer,

    Invoice Number: INV-2023-479
    Invoice Date: 2023-8-2
    Due Date: 2023-12-25

    Billing Information:
    Recipient Name: Lauren Murray
    Recipient Address: 088 Troy Valleys, Russellville, Alaska 01486

    Product Details:
    - Description: world Monitor S3
      Quantity: 1
      Unit Price: $903.66
    - Description: education Scanner S4
      Quantity: 3
      Unit Price: $37.55

    Balance Due: $52072459.676935814

    Thank you for your business!
    "
153,"
    Dear Customer,

    Invoice Number: INV-2023-865
    Invoice Date: 2023-3-27
    Due Date: 2023-5-2

    Billing Information:
    Recipient Name: Erica Wilcox
    Recipient Address: 73993 Dana Prairie, New Tina, Vermont 85072

    Product Details:
    - Description: continue Monitor M2
      Quantity: 1
      Unit Price: $190.58
    - Description: end Headphones H6
      Quantity: 5
      Unit Price: $198.84

    Balance Due: $848537508.7472298

    Thank you for your business!
    "
154,"
    Dear Customer,

    Invoice Number: INV-2023-469
    Invoice Date: 2023-1-18
    Due Date: 2023-4-22

    Billing Information:
    Recipient Name: Samantha Warner
    Recipient Address: 0013 Roberts Stravenue Suite 196, West Alex, Maine 06639

    Product Details:
    - Description: product Laptop M2
      Quantity: 3
      Unit Price: $122.16
    - Description: sport Webcam W1
      Quantity: 3
      Unit Price: $62.49

    Balance Due: $841170947.968189

    Thank you for your business!
    "
155,"
    Dear Customer,

    Invoice Number: INV-2023-360
    Invoice Date: 2023-12-15
    Due Date: 2023-3-14

    Billing Information:
    Recipient Name: Brandon King
    Recipient Address: 4370 Amber Center Apt. 613, Timothychester, North Carolina 44564

    Product Details:
    - Description: ten Monitor K4
      Quantity: 1
      Unit Price: $988.49
    - Description: away Mouse H6
      Quantity: 1
      Unit Price: $181.40

    Balance Due: $415588802.62560534

    Thank you for your business!
    "
156,"
    Dear Customer,

    Invoice Number: INV-2023-798
    Invoice Date: 2023-6-14
    Due Date: 2023-3-3

    Billing Information:
    Recipient Name: Sara Moses
    Recipient Address: 08922 Tyler Parkway Suite 942, West Craig, Georgia 15385

    Product Details:
    - Description: need Tablet K4
      Quantity: 3
      Unit Price: $636.55
    - Description: must Scanner P2
      Quantity: 2
      Unit Price: $141.62

    Balance Due: $381357300.67690897

    Thank you for your business!
    "
157,"
    Dear Customer,

    Invoice Number: INV-2023-674
    Invoice Date: 2023-10-14
    Due Date: 2023-10-24

    Billing Information:
    Recipient Name: Bobby Chandler
    Recipient Address: 87123 Zachary Expressway, Hansonchester, Alaska 69050

    Product Details:
    - Description: quickly Tablet K4
      Quantity: 5
      Unit Price: $810.72
    - Description: bring Mouse P2
      Quantity: 5
      Unit Price: $40.83

    Balance Due: $340131061.07726496

    Thank you for your business!
    "
158,"
    Dear Customer,

    Invoice Number: INV-2023-408
    Invoice Date: 2023-8-12
    Due Date: 2023-11-28

    Billing Information:
    Recipient Name: Ronald Martin
    Recipient Address: 0703 White Gardens Apt. 693, Lake Donald, Minnesota 90334

    Product Details:
    - Description: reflect Monitor X1
      Quantity: 3
      Unit Price: $671.01
    - Description: air Mouse P2
      Quantity: 1
      Unit Price: $11.17

    Balance Due: $636764525.9971236

    Thank you for your business!
    "
159,"
    Dear Customer,

    Invoice Number: INV-2023-737
    Invoice Date: 2023-3-21
    Due Date: 2023-11-27

    Billing Information:
    Recipient Name: Phillip Wright
    Recipient Address: 35975 Mueller Throughway, Kimberlyton, Arizona 68522

    Product Details:
    - Description: research Laptop M2
      Quantity: 1
      Unit Price: $495.32
    - Description: data Headphones M3
      Quantity: 2
      Unit Price: $17.70

    Balance Due: $704379585.855922

    Thank you for your business!
    "
160,"
    Dear Customer,

    Invoice Number: INV-2023-536
    Invoice Date: 2023-10-8
    Due Date: 2023-6-22

    Billing Information:
    Recipient Name: Rebekah Hicks
    Recipient Address: 79321 Wright Knoll, Johnsonshire, Kentucky 40754

    Product Details:
    - Description: my Laptop M2
      Quantity: 2
      Unit Price: $719.74
    - Description: environmental Webcam M3
      Quantity: 2
      Unit Price: $180.64

    Balance Due: $389719368.8711843

    Thank you for your business!
    "
161,"
    Dear Customer,

    Invoice Number: INV-2023-787
    Invoice Date: 2023-1-26
    Due Date: 2023-12-6

    Billing Information:
    Recipient Name: Daniel Downs
    Recipient Address: 2136 Anthony Grove, Lake Jason, Hawaii 65617

    Product Details:
    - Description: debate Monitor K4
      Quantity: 2
      Unit Price: $149.94
    - Description: Republican Webcam S4
      Quantity: 4
      Unit Price: $78.53

    Balance Due: $364936719.02006376

    Thank you for your business!
    "
162,"
    Dear Customer,

    Invoice Number: INV-2023-224
    Invoice Date: 2023-7-20
    Due Date: 2023-3-19

    Billing Information:
    Recipient Name: Jessica Griffin
    Recipient Address: 4016 Martin Park, Smithhaven, Maine 37471

    Product Details:
    - Description: blood Keyboard S3
      Quantity: 4
      Unit Price: $435.86
    - Description: work Printer M3
      Quantity: 2
      Unit Price: $132.79

    Balance Due: $520258328.1238983

    Thank you for your business!
    "
163,"
    Dear Customer,

    Invoice Number: INV-2023-932
    Invoice Date: 2023-11-23
    Due Date: 2023-8-13

    Billing Information:
    Recipient Name: Diana Rodriguez
    Recipient Address: 159 Jennifer Courts, Stevenshire, Idaho 69827

    Product Details:
    - Description: whether Keyboard T5
      Quantity: 2
      Unit Price: $347.06
    - Description: authority Scanner W1
      Quantity: 3
      Unit Price: $70.68

    Balance Due: $443222985.1261283

    Thank you for your business!
    "
164,"
    Dear Customer,

    Invoice Number: INV-2023-167
    Invoice Date: 2023-1-23
    Due Date: 2023-5-12

    Billing Information:
    Recipient Name: Brian Powell
    Recipient Address: 84353 Wilson Cliff, Williamsonchester, Kansas 85887

    Product Details:
    - Description: model Laptop X1
      Quantity: 2
      Unit Price: $362.22
    - Description: learn Scanner W1
      Quantity: 3
      Unit Price: $147.23

    Balance Due: $593276280.9849795

    Thank you for your business!
    "
165,"
    Dear Customer,

    Invoice Number: INV-2023-401
    Invoice Date: 2023-4-14
    Due Date: 2023-4-2

    Billing Information:
    Recipient Name: Joshua Byrd
    Recipient Address: 015 Gonzalez Viaduct Apt. 369, West Scottberg, Pennsylvania 22422

    Product Details:
    - Description: try Monitor K4
      Quantity: 1
      Unit Price: $472.85
    - Description: my Printer P2
      Quantity: 1
      Unit Price: $176.18

    Balance Due: $459622442.5210075

    Thank you for your business!
    "
166,"
    Dear Customer,

    Invoice Number: INV-2023-243
    Invoice Date: 2023-5-24
    Due Date: 2023-7-23

    Billing Information:
    Recipient Name: Whitney Murillo
    Recipient Address: 84967 Brown Locks, West Austinhaven, Iowa 98032

    Product Details:
    - Description: assume Smartphone K4
      Quantity: 4
      Unit Price: $90.05
    - Description: address Printer S4
      Quantity: 1
      Unit Price: $149.47

    Balance Due: $544294095.0942483

    Thank you for your business!
    "
167,"
    Dear Customer,

    Invoice Number: INV-2023-712
    Invoice Date: 2023-1-4
    Due Date: 2023-9-26

    Billing Information:
    Recipient Name: Martin Ward
    Recipient Address: 82927 Petty Orchard, West Joshua, New Hampshire 29382

    Product Details:
    - Description: final Smartphone X1
      Quantity: 2
      Unit Price: $656.55
    - Description: win Headphones W1
      Quantity: 4
      Unit Price: $26.88

    Balance Due: $475610074.6875903

    Thank you for your business!
    "
168,"
    Dear Customer,

    Invoice Number: INV-2023-959
    Invoice Date: 2023-2-26
    Due Date: 2023-3-4

    Billing Information:
    Recipient Name: Joshua Acevedo
    Recipient Address: 1078 Charles Knoll Apt. 311, Roweberg, Iowa 12543

    Product Details:
    - Description: tree Laptop M2
      Quantity: 5
      Unit Price: $942.40
    - Description: really Headphones H6
      Quantity: 3
      Unit Price: $54.27

    Balance Due: $853684538.8586259

    Thank you for your business!
    "
169,"
    Dear Customer,

    Invoice Number: INV-2023-470
    Invoice Date: 2023-11-23
    Due Date: 2023-10-17

    Billing Information:
    Recipient Name: Andrew Evans
    Recipient Address: 79000 Brandon Trail, East Brianshire, Pennsylvania 80467

    Product Details:
    - Description: moment Smartphone M2
      Quantity: 5
      Unit Price: $470.38
    - Description: sound Headphones P2
      Quantity: 4
      Unit Price: $95.21

    Balance Due: $146803806.94403413

    Thank you for your business!
    "
170,"
    Dear Customer,

    Invoice Number: INV-2023-106
    Invoice Date: 2023-4-25
    Due Date: 2023-11-11

    Billing Information:
    Recipient Name: Rachel Jones
    Recipient Address: 5073 Bryce Plain, West Elizabethburgh, Arizona 49513

    Product Details:
    - Description: evidence Tablet S3
      Quantity: 3
      Unit Price: $603.46
    - Description: course Mouse H6
      Quantity: 4
      Unit Price: $85.67

    Balance Due: $551901259.4526763

    Thank you for your business!
    "
171,"
    Dear Customer,

    Invoice Number: INV-2023-494
    Invoice Date: 2023-3-22
    Due Date: 2023-8-20

    Billing Information:
    Recipient Name: Christopher Fuentes
    Recipient Address: 60603 Frank Mission Apt. 450, North Patriciaburgh, Kansas 92348

    Product Details:
    - Description: write Keyboard K4
      Quantity: 5
      Unit Price: $77.68
    - Description: at Mouse P2
      Quantity: 3
      Unit Price: $29.04

    Balance Due: $771591481.4648855

    Thank you for your business!
    "
172,"
    Dear Customer,

    Invoice Number: INV-2023-159
    Invoice Date: 2023-4-8
    Due Date: 2023-9-26

    Billing Information:
    Recipient Name: Bryan Allen
    Recipient Address: 4913 Morgan Mountain Apt. 506, East Brenda, Kansas 38292

    Product Details:
    - Description: management Keyboard X1
      Quantity: 1
      Unit Price: $547.28
    - Description: relationship Mouse S4
      Quantity: 5
      Unit Price: $99.95

    Balance Due: $188053822.7414031

    Thank you for your business!
    "
173,"
    Dear Customer,

    Invoice Number: INV-2023-220
    Invoice Date: 2023-2-16
    Due Date: 2023-8-11

    Billing Information:
    Recipient Name: Ashlee Stein
    Recipient Address: 9733 Hernandez Parkways, Lake David, Wyoming 79629

    Product Details:
    - Description: threat Tablet M2
      Quantity: 4
      Unit Price: $853.56
    - Description: drug Webcam H6
      Quantity: 4
      Unit Price: $129.82

    Balance Due: $186091766.5700041

    Thank you for your business!
    "
174,"
    Dear Customer,

    Invoice Number: INV-2023-200
    Invoice Date: 2023-7-15
    Due Date: 2023-3-10

    Billing Information:
    Recipient Name: Edward Johnston
    Recipient Address: 755 Davis Pine, Port Justin, Idaho 57505

    Product Details:
    - Description: sister Smartphone T5
      Quantity: 5
      Unit Price: $726.27
    - Description: prepare Webcam P2
      Quantity: 1
      Unit Price: $78.17

    Balance Due: $639868664.848289

    Thank you for your business!
    "
175,"
    Dear Customer,

    Invoice Number: INV-2023-370
    Invoice Date: 2023-3-25
    Due Date: 2023-3-12

    Billing Information:
    Recipient Name: Mr. Richard Benton
    Recipient Address: 3970 Taylor Islands, Leslieshire, Washington 33523

    Product Details:
    - Description: back Keyboard X1
      Quantity: 3
      Unit Price: $807.45
    - Description: source Mouse W1
      Quantity: 4
      Unit Price: $127.47

    Balance Due: $952909778.7393104

    Thank you for your business!
    "
176,"
    Dear Customer,

    Invoice Number: INV-2023-213
    Invoice Date: 2023-11-3
    Due Date: 2023-9-21

    Billing Information:
    Recipient Name: Shannon Phillips
    Recipient Address: 58890 Rhodes Hills Apt. 135, Walterport, Georgia 45436

    Product Details:
    - Description: appear Tablet X1
      Quantity: 4
      Unit Price: $445.12
    - Description: him Headphones H6
      Quantity: 2
      Unit Price: $154.86

    Balance Due: $508221477.8000709

    Thank you for your business!
    "
177,"
    Dear Customer,

    Invoice Number: INV-2023-667
    Invoice Date: 2023-9-19
    Due Date: 2023-6-19

    Billing Information:
    Recipient Name: Lisa Singh
    Recipient Address: 61768 Johnson Tunnel, Roseborough, Rhode Island 92954

    Product Details:
    - Description: out Smartphone S3
      Quantity: 5
      Unit Price: $887.75
    - Description: daughter Headphones P2
      Quantity: 4
      Unit Price: $88.19

    Balance Due: $67827851.61661263

    Thank you for your business!
    "
178,"
    Dear Customer,

    Invoice Number: INV-2023-457
    Invoice Date: 2023-5-5
    Due Date: 2023-11-17

    Billing Information:
    Recipient Name: Matthew Lopez
    Recipient Address: 95736 Watson Creek Suite 270, Thompsonshire, Kansas 63547

    Product Details:
    - Description: action Smartphone M2
      Quantity: 5
      Unit Price: $679.18
    - Description: prove Scanner H6
      Quantity: 2
      Unit Price: $105.41

    Balance Due: $331681546.21011645

    Thank you for your business!
    "
179,"
    Dear Customer,

    Invoice Number: INV-2023-314
    Invoice Date: 2023-9-17
    Due Date: 2023-8-21

    Billing Information:
    Recipient Name: Vanessa Morton
    Recipient Address: 336 Jerome Throughway, Loriview, New Jersey 62518

    Product Details:
    - Description: Mrs Tablet T5
      Quantity: 3
      Unit Price: $747.47
    - Description: include Printer S4
      Quantity: 4
      Unit Price: $197.71

    Balance Due: $757553822.7154303

    Thank you for your business!
    "
180,"
    Dear Customer,

    Invoice Number: INV-2023-346
    Invoice Date: 2023-5-13
    Due Date: 2023-7-16

    Billing Information:
    Recipient Name: Joan Mcdonald
    Recipient Address: 9392 Williams Point, Lawrencehaven, Louisiana 49001

    Product Details:
    - Description: music Monitor X1
      Quantity: 5
      Unit Price: $257.53
    - Description: small Printer P2
      Quantity: 1
      Unit Price: $83.62

    Balance Due: $68562153.06161658

    Thank you for your business!
    "
181,"
    Dear Customer,

    Invoice Number: INV-2023-310
    Invoice Date: 2023-11-4
    Due Date: 2023-10-19

    Billing Information:
    Recipient Name: Susan Leonard
    Recipient Address: 2937 Andrew Rapids, Kathymouth, Tennessee 63546

    Product Details:
    - Description: each Laptop T5
      Quantity: 5
      Unit Price: $868.76
    - Description: be Webcam M3
      Quantity: 2
      Unit Price: $145.36

    Balance Due: $866637291.2048827

    Thank you for your business!
    "
182,"
    Dear Customer,

    Invoice Number: INV-2023-672
    Invoice Date: 2023-8-18
    Due Date: 2023-9-15

    Billing Information:
    Recipient Name: Samantha Crane
    Recipient Address: 9244 Lynn Locks Apt. 204, South Melody, Alaska 47657

    Product Details:
    - Description: section Monitor X1
      Quantity: 2
      Unit Price: $365.79
    - Description: send Scanner W1
      Quantity: 1
      Unit Price: $46.53

    Balance Due: $784176221.6626234

    Thank you for your business!
    "
183,"
    Dear Customer,

    Invoice Number: INV-2023-163
    Invoice Date: 2023-12-12
    Due Date: 2023-11-6

    Billing Information:
    Recipient Name: Joseph Bowers
    Recipient Address: 796 Hebert Throughway Suite 817, Port Andrew, Colorado 40350

    Product Details:
    - Description: performance Tablet X1
      Quantity: 3
      Unit Price: $413.77
    - Description: attorney Mouse S4
      Quantity: 4
      Unit Price: $97.49

    Balance Due: $247365179.87056437

    Thank you for your business!
    "
184,"
    Dear Customer,

    Invoice Number: INV-2023-683
    Invoice Date: 2023-5-16
    Due Date: 2023-2-4

    Billing Information:
    Recipient Name: Diana Alexander
    Recipient Address: 01782 Cortez Expressway Apt. 415, Cathyberg, Maine 33780

    Product Details:
    - Description: late Keyboard T5
      Quantity: 4
      Unit Price: $467.23
    - Description: share Headphones W1
      Quantity: 3
      Unit Price: $185.80

    Balance Due: $767592002.7740914

    Thank you for your business!
    "
185,"
    Dear Customer,

    Invoice Number: INV-2023-569
    Invoice Date: 2023-10-7
    Due Date: 2023-11-5

    Billing Information:
    Recipient Name: Anthony Ramos
    Recipient Address: 2326 Travis Lake, South Julieshire, Arizona 58333

    Product Details:
    - Description: former Tablet K4
      Quantity: 1
      Unit Price: $377.29
    - Description: court Mouse M3
      Quantity: 1
      Unit Price: $25.45

    Balance Due: $114138532.02926077

    Thank you for your business!
    "
186,"
    Dear Customer,

    Invoice Number: INV-2023-426
    Invoice Date: 2023-5-24
    Due Date: 2023-8-4

    Billing Information:
    Recipient Name: Debra Morrison
    Recipient Address: 183 Tracy Roads Suite 655, Shannonstad, Ohio 61919

    Product Details:
    - Description: look Laptop T5
      Quantity: 3
      Unit Price: $988.51
    - Description: beat Headphones P2
      Quantity: 1
      Unit Price: $187.85

    Balance Due: $771528172.2205873

    Thank you for your business!
    "
187,"
    Dear Customer,

    Invoice Number: INV-2023-405
    Invoice Date: 2023-11-10
    Due Date: 2023-11-18

    Billing Information:
    Recipient Name: Jennifer Raymond
    Recipient Address: 36930 Joseph Vista, Sarahborough, Kansas 55615

    Product Details:
    - Description: floor Laptop T5
      Quantity: 4
      Unit Price: $679.31
    - Description: item Printer S4
      Quantity: 4
      Unit Price: $17.42

    Balance Due: $897068524.7250308

    Thank you for your business!
    "
188,"
    Dear Customer,

    Invoice Number: INV-2023-786
    Invoice Date: 2023-7-18
    Due Date: 2023-8-19

    Billing Information:
    Recipient Name: Phillip Stewart
    Recipient Address: 0955 Cannon Fords, Glendaside, Illinois 32441

    Product Details:
    - Description: win Keyboard X1
      Quantity: 1
      Unit Price: $464.15
    - Description: evidence Scanner M3
      Quantity: 5
      Unit Price: $136.54

    Balance Due: $845027590.4994111

    Thank you for your business!
    "
189,"
    Dear Customer,

    Invoice Number: INV-2023-547
    Invoice Date: 2023-12-25
    Due Date: 2023-6-24

    Billing Information:
    Recipient Name: Tammy Clark
    Recipient Address: 8080 Emily View Suite 043, West Markborough, Oklahoma 24855

    Product Details:
    - Description: sport Smartphone X1
      Quantity: 4
      Unit Price: $72.35
    - Description: generation Headphones W1
      Quantity: 5
      Unit Price: $101.58

    Balance Due: $755303643.9021552

    Thank you for your business!
    "
190,"
    Dear Customer,

    Invoice Number: INV-2023-658
    Invoice Date: 2023-6-5
    Due Date: 2023-3-24

    Billing Information:
    Recipient Name: Joseph Ferguson
    Recipient Address: 22737 Erica Trail Apt. 886, East Danny, Delaware 76630

    Product Details:
    - Description: one Smartphone K4
      Quantity: 4
      Unit Price: $227.32
    - Description: election Scanner H6
      Quantity: 2
      Unit Price: $94.45

    Balance Due: $696100885.9333524

    Thank you for your business!
    "
191,"
    Dear Customer,

    Invoice Number: INV-2023-751
    Invoice Date: 2023-9-27
    Due Date: 2023-3-17

    Billing Information:
    Recipient Name: Doris Gaines
    Recipient Address: 85208 Goodwin Fort Suite 892, Lake Charlesville, Maryland 98775

    Product Details:
    - Description: market Smartphone T5
      Quantity: 3
      Unit Price: $913.53
    - Description: century Headphones P2
      Quantity: 1
      Unit Price: $60.83

    Balance Due: $660417815.4343921

    Thank you for your business!
    "
192,"
    Dear Customer,

    Invoice Number: INV-2023-648
    Invoice Date: 2023-12-3
    Due Date: 2023-10-4

    Billing Information:
    Recipient Name: Jill Serrano
    Recipient Address: 609 Wagner Point, Lake Travisport, Iowa 17222

    Product Details:
    - Description: mean Laptop T5
      Quantity: 4
      Unit Price: $702.47
    - Description: full Webcam P2
      Quantity: 5
      Unit Price: $59.40

    Balance Due: $947257530.0353225

    Thank you for your business!
    "
193,"
    Dear Customer,

    Invoice Number: INV-2023-107
    Invoice Date: 2023-7-18
    Due Date: 2023-2-17

    Billing Information:
    Recipient Name: Amanda Morrison PhD
    Recipient Address: 9945 Patterson Center, Haleyberg, Illinois 50803

    Product Details:
    - Description: team Tablet X1
      Quantity: 5
      Unit Price: $807.09
    - Description: operation Headphones M3
      Quantity: 2
      Unit Price: $192.16

    Balance Due: $790785306.484104

    Thank you for your business!
    "
